model,target,runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,real_recall_mean,real_recall_std,fake_recall_mean,fake_recall_std,elapsed_minutes_mean
TF-IDF + Logistic Regression,LIAR test,1,0.6235,0.0000,0.6005,0.0000,0.7661,0.0000,0.4394,0.0000,
Weighted RoBERTa,LIAR test,5,0.6522,0.0074,0.6396,0.0080,0.7443,0.0153,0.5335,0.0199,8.8541
Weighted BERT,LIAR test,5,0.6412,0.0065,0.6322,0.0090,0.7048,0.0292,0.5591,0.0447,8.7524
Unweighted BERT,LIAR test,5,0.6425,0.0095,0.6231,0.0122,0.7706,0.0110,0.4770,0.0281,8.9522
TF-IDF + Logistic Regression,FakeNewsNet PolitiFact titles,1,0.5152,0.0000,0.5146,0.0000,0.4631,0.0000,0.5903,0.0000,
Weighted RoBERTa,FakeNewsNet PolitiFact titles,5,0.4795,0.0332,0.4196,0.0529,0.1388,0.0681,0.9718,0.0177,8.8541
Weighted BERT,FakeNewsNet PolitiFact titles,5,0.4835,0.0453,0.4371,0.0710,0.1782,0.0995,0.9245,0.0392,8.7524
Unweighted BERT,FakeNewsNet PolitiFact titles,5,0.5114,0.0560,0.4805,0.0803,0.2436,0.1135,0.8981,0.0333,8.9522
TF-IDF + Logistic Regression,FakeNewsNet GossipCop titles,1,0.4986,0.0000,0.4715,0.0000,0.4771,0.0000,0.5664,0.0000,
Weighted RoBERTa,FakeNewsNet GossipCop titles,5,0.2619,0.0145,0.2271,0.0216,0.0335,0.0230,0.9836,0.0122,8.8541
Weighted BERT,FakeNewsNet GossipCop titles,5,0.2844,0.0226,0.2601,0.0329,0.0709,0.0395,0.9589,0.0315,8.7524
Unweighted BERT,FakeNewsNet GossipCop titles,5,0.2918,0.0185,0.2710,0.0266,0.0832,0.0335,0.9507,0.0293,8.9522
TF-IDF + Logistic Regression,FakeNewsNet combined titles,1,0.4993,0.0000,0.4745,0.0000,0.4766,0.0000,0.5682,0.0000,
Weighted RoBERTa,FakeNewsNet combined titles,5,0.2718,0.0154,0.2358,0.0229,0.0372,0.0245,0.9827,0.0126,8.8541
Weighted BERT,FakeNewsNet combined titles,5,0.2935,0.0234,0.2682,0.0342,0.0747,0.0414,0.9564,0.0320,8.7524
Unweighted BERT,FakeNewsNet combined titles,5,0.3018,0.0191,0.2806,0.0275,0.0890,0.0349,0.9467,0.0294,8.9522
