model_key,seed,stage,target_fraction,target_train_n,test_n,accuracy,macro_f1,real_recall,fake_recall,confusion_matrix
weighted_roberta,42,source_only_zero_shot,0.0000,0,4640,0.2601,0.2178,0.0183,0.9930,"[[64, 3425], [8, 1143]]"
weighted_roberta,42,intermediate_ft,0.1000,1484,4640,0.8116,0.7203,0.9197,0.4839,"[[3209, 280], [594, 557]]"
weighted_roberta,52,source_only_zero_shot,0.0000,0,4640,0.2666,0.2291,0.0307,0.9818,"[[107, 3382], [21, 1130]]"
weighted_roberta,52,intermediate_ft,0.1000,1484,4640,0.8000,0.6523,0.9653,0.2989,"[[3368, 121], [807, 344]]"
weighted_roberta,62,source_only_zero_shot,0.0000,0,4640,0.2655,0.2249,0.0244,0.9965,"[[85, 3404], [4, 1147]]"
weighted_roberta,62,intermediate_ft,0.1000,1484,4640,0.8121,0.7195,0.9220,0.4787,"[[3217, 272], [600, 551]]"
weighted_roberta,72,source_only_zero_shot,0.0000,0,4640,0.3041,0.2817,0.0848,0.9687,"[[296, 3193], [36, 1115]]"
weighted_roberta,72,intermediate_ft,0.1000,1484,4640,0.8022,0.7018,0.9192,0.4474,"[[3207, 282], [636, 515]]"
weighted_roberta,82,source_only_zero_shot,0.0000,0,4640,0.2659,0.2284,0.0301,0.9809,"[[105, 3384], [22, 1129]]"
weighted_roberta,82,intermediate_ft,0.1000,1484,4640,0.8157,0.7236,0.9263,0.4805,"[[3232, 257], [598, 553]]"
