seed,model_key,stage,target_fraction,target_train_n,best_epoch,test_n,accuracy,macro_f1,real_recall,fake_recall,confusion_matrix,classification_report,elapsed_minutes
42,weighted_roberta,source_only_zero_shot,0.0,0,3,4640,0.2601293103448276,0.21783259504534144,0.01834336486099169,0.9930495221546481,"[[64, 3425], [8, 1143]]","              precision    recall  f1-score   support

        REAL     0.8889    0.0183    0.0359      3489
        FAKE     0.2502    0.9930    0.3997      1151

    accuracy                         0.2601      4640
   macro avg     0.5696    0.5057    0.2178      4640
weighted avg     0.7305    0.2601    0.1262      4640
",8.21887408097585
42,weighted_roberta,intermediate_ft,0.2,2969,2,4640,0.8230603448275862,0.7446680562072914,0.9157351676698194,0.5421372719374457,"[[3195, 294], [527, 624]]","              precision    recall  f1-score   support

        REAL     0.8584    0.9157    0.8861      3489
        FAKE     0.6797    0.5421    0.6032      1151

    accuracy                         0.8231      4640
   macro avg     0.7691    0.7289    0.7447      4640
weighted avg     0.8141    0.8231    0.8160      4640
",2.3037756284077964
52,weighted_roberta,source_only_zero_shot,0.0,0,3,4640,0.2665948275862069,0.22912340634858902,0.030667813126970478,0.9817549956559514,"[[107, 3382], [21, 1130]]","              precision    recall  f1-score   support

        REAL     0.8359    0.0307    0.0592      3489
        FAKE     0.2504    0.9818    0.3991      1151

    accuracy                         0.2666      4640
   macro avg     0.5432    0.5062    0.2291      4640
weighted avg     0.6907    0.2666    0.1435      4640
",8.22451073328654
52,weighted_roberta,intermediate_ft,0.2,2969,2,4640,0.8217672413793103,0.7481193859812706,0.9059902550874176,0.5664639443961772,"[[3161, 328], [499, 652]]","              precision    recall  f1-score   support

        REAL     0.8637    0.9060    0.8843      3489
        FAKE     0.6653    0.5665    0.6119      1151

    accuracy                         0.8218      4640
   macro avg     0.7645    0.7362    0.7481      4640
weighted avg     0.8145    0.8218    0.8167      4640
",2.3224358479181926
62,weighted_roberta,source_only_zero_shot,0.0,0,2,4640,0.2655172413793103,0.2249137770297812,0.024362281456004584,0.996524761077324,"[[85, 3404], [4, 1147]]","              precision    recall  f1-score   support

        REAL     0.9551    0.0244    0.0475      3489
        FAKE     0.2520    0.9965    0.4023      1151

    accuracy                         0.2655      4640
   macro avg     0.6035    0.5104    0.2249      4640
weighted avg     0.7807    0.2655    0.1355      4640
",8.242046475410461
62,weighted_roberta,intermediate_ft,0.2,2969,2,4640,0.81875,0.7453597075379659,0.9014044138721696,0.5682015638575152,"[[3145, 344], [497, 654]]","              precision    recall  f1-score   support

        REAL     0.8635    0.9014    0.8821      3489
        FAKE     0.6553    0.5682    0.6087      1151

    accuracy                         0.8187      4640
   macro avg     0.7594    0.7348    0.7454      4640
weighted avg     0.8119    0.8187    0.8142      4640
",2.311141240596771
72,weighted_roberta,source_only_zero_shot,0.0,0,3,4640,0.3040948275862069,0.28171649438398755,0.08483806248208656,0.9687228496959166,"[[296, 3193], [36, 1115]]","              precision    recall  f1-score   support

        REAL     0.8916    0.0848    0.1549      3489
        FAKE     0.2588    0.9687    0.4085      1151

    accuracy                         0.3041      4640
   macro avg     0.5752    0.5268    0.2817      4640
weighted avg     0.7346    0.3041    0.2178      4640
",8.245606056849162
72,weighted_roberta,intermediate_ft,0.2,2969,2,4640,0.8265086206896551,0.7383828414668799,0.9355116079105761,0.49609035621198955,"[[3264, 225], [580, 571]]","              precision    recall  f1-score   support

        REAL     0.8491    0.9355    0.8902      3489
        FAKE     0.7173    0.4961    0.5865      1151

    accuracy                         0.8265      4640
   macro avg     0.7832    0.7158    0.7384      4640
weighted avg     0.8164    0.8265    0.8149      4640
",2.3617698431015013
82,weighted_roberta,source_only_zero_shot,0.0,0,3,4640,0.265948275862069,0.22836670666466677,0.03009458297506449,0.9808861859252823,"[[105, 3384], [22, 1129]]","              precision    recall  f1-score   support

        REAL     0.8268    0.0301    0.0581      3489
        FAKE     0.2502    0.9809    0.3987      1151

    accuracy                         0.2659      4640
   macro avg     0.5385    0.5055    0.2284      4640
weighted avg     0.6837    0.2659    0.1426      4640
",8.38413766225179
82,weighted_roberta,intermediate_ft,0.2,2969,2,4640,0.8314655172413793,0.7548450877265525,0.9246202350243623,0.5490877497827976,"[[3226, 263], [519, 632]]","              precision    recall  f1-score   support

        REAL     0.8614    0.9246    0.8919      3489
        FAKE     0.7061    0.5491    0.6178      1151

    accuracy                         0.8315      4640
   macro avg     0.7838    0.7369    0.7548      4640
weighted avg     0.8229    0.8315    0.8239      4640
",2.3383694291114807
