threshold,valid_accuracy,valid_macro_f1,valid_real_recall,valid_fake_recall,valid_confusion_matrix
0.3,0.618380062305296,0.6109023532875029,0.46107784431137727,0.788961038961039,"[[308, 360], [130, 486]]"
0.31,0.6253894080996885,0.6195555555555555,0.4820359281437126,0.7808441558441559,"[[322, 346], [135, 481]]"
0.32,0.6292834890965732,0.6248232104973679,0.5,0.7694805194805194,"[[334, 334], [142, 474]]"
0.33,0.6308411214953271,0.6276967723149727,0.5179640718562875,0.7532467532467533,"[[346, 322], [152, 464]]"
0.34,0.633177570093458,0.6307080166411114,0.5299401197604791,0.7451298701298701,"[[354, 314], [157, 459]]"
0.35,0.6417445482866043,0.6400538237272931,0.5508982035928144,0.7402597402597403,"[[368, 300], [160, 456]]"
0.36,0.647196261682243,0.6463448668348446,0.5748502994011976,0.7256493506493507,"[[384, 284], [169, 447]]"
0.37,0.6479750778816199,0.6475612125923047,0.5898203592814372,0.711038961038961,"[[394, 274], [178, 438]]"
0.38,0.6510903426791277,0.6509243436383408,0.6047904191616766,0.7012987012987013,"[[404, 264], [184, 432]]"
0.39,0.6526479750778816,0.6525940305751031,0.6152694610778443,0.6931818181818182,"[[411, 257], [189, 427]]"
0.4,0.6534267912772586,0.6534265810615321,0.6272455089820359,0.6818181818181818,"[[419, 249], [196, 420]]"
0.41,0.6534267912772586,0.6533912611989054,0.6377245508982036,0.6704545454545454,"[[426, 242], [203, 413]]"
0.42,0.6557632398753894,0.6555492974159278,0.6541916167664671,0.6574675324675324,"[[437, 231], [211, 405]]"
0.43,0.6596573208722741,0.6592751913247878,0.6661676646706587,0.6525974025974026,"[[445, 223], [214, 402]]"
0.44,0.6573208722741433,0.6567579127459366,0.6706586826347305,0.6428571428571429,"[[448, 220], [220, 396]]"
0.45,0.6573208722741433,0.656413063309615,0.6811377245508982,0.6314935064935064,"[[455, 213], [227, 389]]"
0.46,0.6573208722741433,0.6560516068702011,0.6901197604790419,0.6217532467532467,"[[461, 207], [233, 383]]"
0.47,0.6557632398753894,0.6542120078476292,0.6946107784431138,0.6136363636363636,"[[464, 204], [238, 378]]"
0.48,0.6518691588785047,0.6497871989895384,0.7005988023952096,0.599025974025974,"[[468, 200], [247, 369]]"
0.49,0.6549844236760125,0.6524800293259612,0.7110778443113772,0.5941558441558441,"[[475, 193], [250, 366]]"
0.5,0.660436137071651,0.6573426402215242,0.7260479041916168,0.5892857142857143,"[[485, 183], [253, 363]]"
0.51,0.6573208722741433,0.6536605461393596,0.7305389221556886,0.577922077922078,"[[488, 180], [260, 356]]"
0.52,0.6627725856697819,0.658537274437464,0.7440119760479041,0.5746753246753247,"[[497, 171], [262, 354]]"
0.53,0.660436137071651,0.6553486997635933,0.7514970059880239,0.5616883116883117,"[[502, 166], [270, 346]]"
0.54,0.6651090342679128,0.6589898410941577,0.7679640718562875,0.5535714285714286,"[[513, 155], [275, 341]]"
0.55,0.6658878504672897,0.659265811587793,0.7739520958083832,0.5487012987012987,"[[517, 151], [278, 338]]"
0.56,0.6682242990654206,0.6607968963558475,0.7844311377245509,0.5422077922077922,"[[524, 144], [282, 334]]"
0.57,0.6705607476635514,0.6622848988499959,0.7949101796407185,0.5357142857142857,"[[531, 137], [286, 330]]"
0.58,0.6713395638629284,0.6617677902621724,0.8068862275449101,0.5243506493506493,"[[539, 129], [293, 323]]"
0.59,0.6705607476635514,0.6601242403933341,0.812874251497006,0.5162337662337663,"[[543, 125], [298, 318]]"
0.6,0.6705607476635514,0.6593431750657157,0.8188622754491018,0.5097402597402597,"[[547, 121], [302, 314]]"
0.61,0.6682242990654206,0.6553676018427976,0.8278443113772455,0.49512987012987014,"[[553, 115], [311, 305]]"
0.62,0.6674454828660437,0.6537905610587315,0.8323353293413174,0.48863636363636365,"[[556, 112], [315, 301]]"
0.63,0.6612149532710281,0.6454198315785464,0.8383233532934131,0.46915584415584416,"[[560, 108], [327, 289]]"
0.64,0.6573208722741433,0.6402115323870757,0.8413173652694611,0.4577922077922078,"[[562, 106], [334, 282]]"
0.65,0.6588785046728972,0.6413316326530613,0.8458083832335329,0.45616883116883117,"[[565, 103], [335, 281]]"
0.66,0.6565420560747663,0.6382139559846275,0.8473053892215568,0.4496753246753247,"[[566, 102], [339, 277]]"
0.67,0.6534267912772586,0.6341133084576318,0.8488023952095808,0.44155844155844154,"[[567, 101], [344, 272]]"
0.68,0.6518691588785047,0.6313394957886035,0.8532934131736527,0.43344155844155846,"[[570, 98], [349, 267]]"
0.69,0.6549844236760125,0.6331870970737485,0.8637724550898204,0.42857142857142855,"[[577, 91], [352, 264]]"
0.7,0.6542056074766355,0.6306902985074627,0.8712574850299402,0.41883116883116883,"[[582, 86], [358, 258]]"
